STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WV03,WV20
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/30/1970,80,60,,,2042,0,69,0,0,,79,62,516,,,,90,90,,,,,24.2,17.9,1,1,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",3/31/1970,100,90,,,1012,0,51,0,0,,75,66,384,,,,90,90,,,,,24.2,19,1,,,,,,,1,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/1/1970,90,90,,,2236,0,56,0,0,,88,68,420,,,,360,360,,,,,40.3,32,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/2/1970,40,40,,,312,0,100,0,0,,70,49,744,,,,360,360,,,,,34.4,27.1,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/3/1970,10,10,,,1406,0,100,0,0,,70,49,750,,,,90,90,,,,,33.3,23.9,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/4/1970,60,90,,,2242,0,57,0,0,,78,56,432,,,,315,45,,,,,20.8,16.1,1,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/5/1970,60,90,,,648,0,74,0,0,,65,49,558,,,,360,360,,,,,27.5,19,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/6/1970,70,100,,,1300,0,90,0,0,,73,44,678,,,,135,90,,,,,17.2,12.1,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/7/1970,80,100,,,1436,0,87,0,0,,76,43,660,,,,135,135,,,,,30,23.9,1,1,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/8/1970,90,100,,,1512,0,53,0,0,,80,62,402,,,,135,135,,,,,31.1,23.9,1,,,,,,,1,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/9/1970,100,100,,,124,0.04,0,0,0,,71,69,0,,,,135,135,,,,,20.8,17,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/10/1970,100,100,,,906,0.03,51,0,0,,78,68,390,,,,360,360,,,,,20.8,17,1,1,,,,,,,,,,,,,1,,,,,,
